fold,candidate,group,pinn_weight,score,nmae,ficr,n
year_2023,global_pinn_0.00,kpx_group_1,0.0,0.5549315091562285,0.15092118635529386,0.26078420466775076,8757
year_2023,global_pinn_0.00,kpx_group_2,0.0,0.6095177514378114,0.14102280502572587,0.36005830790134863,8758
year_2023,global_pinn_0.00,mean,0.0,0.58222463029702,,,17515
year_2023,global_pinn_0.05,kpx_group_1,0.05,0.5561611880807125,0.14967110263587674,0.2619934787973018,8757
year_2023,global_pinn_0.05,kpx_group_2,0.05,0.612775830424734,0.13989544256704955,0.3654471034165176,8758
year_2023,global_pinn_0.05,mean,0.05,0.5844685092527233,,,17515
year_2023,global_pinn_0.10,kpx_group_1,0.1,0.5578690198594363,0.14850526552825388,0.2642433052471264,8757
year_2023,global_pinn_0.10,kpx_group_2,0.1,0.615318832347832,0.13889605084756704,0.36953371554323106,8758
year_2023,global_pinn_0.10,mean,0.1,0.5865939261036341,,,17515
year_2023,global_pinn_0.20,kpx_group_1,0.2,0.5619850101496687,0.14642262812423934,0.27039264842357674,8757
year_2023,global_pinn_0.20,kpx_group_2,0.2,0.6197435072389527,0.13726143839231694,0.37674845287022224,8758
year_2023,global_pinn_0.20,mean,0.2,0.5908642586943107,,,17515
year_2023,global_pinn_0.30,kpx_group_1,0.3,0.5647798857910793,0.14463684141151822,0.27419661299367687,8757
year_2023,global_pinn_0.30,kpx_group_2,0.3,0.6248582090130552,0.1361376614289563,0.38585407945506683,8758
year_2023,global_pinn_0.30,mean,0.3,0.5948190474020673,,,17515
year_2023,global_pinn_0.40,kpx_group_1,0.4,0.568812756024639,0.14316073859907652,0.2807862506483544,8757
year_2023,global_pinn_0.40,kpx_group_2,0.4,0.6288584380493025,0.1354896665625009,0.3932065426611061,8758
year_2023,global_pinn_0.40,mean,0.4,0.5988355970369708,,,17515
year_2023,global_pinn_0.50,kpx_group_1,0.5,0.5719157355285828,0.14201217538642377,0.2858436464435892,8757
year_2023,global_pinn_0.50,kpx_group_2,0.5,0.6325818475948138,0.13537411295123966,0.4005378081408673,8758
year_2023,global_pinn_0.50,mean,0.5,0.6022487915616983,,,17515
year_2023,global_pinn_1.00,kpx_group_1,1.0,0.5869828472432621,0.14189327687212008,0.3158589713586443,8757
year_2023,global_pinn_1.00,kpx_group_2,1.0,0.6333972985976594,0.14335498994279644,0.4101495871381151,8758
year_2023,global_pinn_1.00,mean,1.0,0.6101900729204608,,,17515
year_2023,holdout_best_weights,kpx_group_1,0.55,0.5727887092964542,0.1415876587665281,0.2871650773594365,8757
year_2023,holdout_best_weights,kpx_group_2,0.55,0.6340765060822571,0.13551710181493157,0.40367011397944574,8758
year_2023,holdout_best_weights,mean,0.55,0.6034326076893557,,,17515
year_2024,global_pinn_0.00,kpx_group_1,0.0,0.6139566049003647,0.12372117783945584,0.35163438764018523,8778
year_2024,global_pinn_0.00,kpx_group_2,0.0,0.6415562908504526,0.1253762600467528,0.4084888417476582,8778
year_2024,global_pinn_0.00,kpx_group_3,0.0,0.557899934849537,0.14871157280003447,0.26451144249910863,8778
year_2024,global_pinn_0.00,mean,0.0,0.6044709435334515,,,26334
year_2024,global_pinn_0.05,kpx_group_1,0.05,0.6165164859216127,0.12251422051838777,0.3555471923616132,8778
year_2024,global_pinn_0.05,kpx_group_2,0.05,0.6432985907533001,0.12451398789246922,0.4111111693990694,8778
year_2024,global_pinn_0.05,kpx_group_3,0.05,0.5622009266336574,0.14626656916480327,0.2706684224321181,8778
year_2024,global_pinn_0.05,mean,0.05000000000000001,0.6073386677695234,,,26334
year_2024,global_pinn_0.10,kpx_group_1,0.1,0.6182445717569864,0.1214112622438621,0.35790040575783494,8778
year_2024,global_pinn_0.10,kpx_group_2,0.1,0.6451659998877994,0.12378678499415144,0.41411878476975034,8778
year_2024,global_pinn_0.10,kpx_group_3,0.1,0.565438776837921,0.14401612665877436,0.27489368033461625,8778
year_2024,global_pinn_0.10,mean,0.10000000000000002,0.6096164494942357,,,26334
year_2024,global_pinn_0.20,kpx_group_1,0.2,0.6224350620089445,0.11954685688760985,0.36441698090549896,8778
year_2024,global_pinn_0.20,kpx_group_2,0.2,0.6481634100335047,0.12268513758787125,0.4190119576548808,8778
year_2024,global_pinn_0.20,kpx_group_3,0.2,0.5713177665759174,0.14007012225021967,0.2827056554020544,8778
year_2024,global_pinn_0.20,mean,0.20000000000000004,0.6139720795394555,,,26334
year_2024,global_pinn_0.30,kpx_group_1,0.3,0.6249787185951745,0.11809029467967663,0.36804773187002576,8778
year_2024,global_pinn_0.30,kpx_group_2,0.3,0.6507701133225756,0.1221592556631798,0.423699482308331,8778
year_2024,global_pinn_0.30,kpx_group_3,0.3,0.5778855571344275,0.13678463572382607,0.2925557499926809,8778
year_2024,global_pinn_0.30,mean,0.3,0.6178781296840592,,,26334
year_2024,global_pinn_0.40,kpx_group_1,0.4,0.6274475156754074,0.11714562973390474,0.3720406610847195,8778
year_2024,global_pinn_0.40,kpx_group_2,0.4,0.6534372087605059,0.12211833152322633,0.4289927490442382,8778
year_2024,global_pinn_0.40,kpx_group_3,0.4,0.5861842236192744,0.13434603101607956,0.3067144782546282,8778
year_2024,global_pinn_0.40,mean,0.4000000000000001,0.6223563160183959,,,26334
year_2024,global_pinn_0.50,kpx_group_1,0.5,0.6288930563168813,0.11666407805855186,0.3744501906923144,8778
year_2024,global_pinn_0.50,kpx_group_2,0.5,0.655655695180113,0.12256280453343936,0.43387419489366535,8778
year_2024,global_pinn_0.50,kpx_group_3,0.5,0.5920201088713601,0.132687217964281,0.31672743570700124,8778
year_2024,global_pinn_0.50,mean,0.5,0.6255229534561182,,,26334
year_2024,global_pinn_1.00,kpx_group_1,1.0,0.625685078429971,0.12106593272646458,0.3724360895864066,8778
year_2024,global_pinn_1.00,kpx_group_2,1.0,0.6478025911577862,0.1325884928656893,0.42819367518126156,8778
year_2024,global_pinn_1.00,kpx_group_3,1.0,0.6027035039553574,0.13812965262222054,0.3435366605329355,8778
year_2024,global_pinn_1.00,mean,1.0,0.6253970578477048,,,26334
year_2024,holdout_best_weights,kpx_group_1,0.55,0.6290277195387274,0.11659566947072018,0.37465110854817496,8778
year_2024,holdout_best_weights,kpx_group_2,0.55,0.6557956976980412,0.12297220306201655,0.4345635984580991,8778
year_2024,holdout_best_weights,kpx_group_3,0.7,0.5999514808800838,0.1321731748485908,0.3320761366087583,8778
year_2024,holdout_best_weights,mean,0.6,0.6282582993722841,,,26334
