pred_year,tree_weight,group,score,nmae,ficr,n
2022,0.0,kpx_group_1,0.5994525708243243,0.13693634236144447,0.3358414840100931,8664
2022,0.25,kpx_group_1,0.6125620144854496,0.1311844443342831,0.3563084733051821,8664
2022,0.4,kpx_group_1,0.6202120144017285,0.12877446115321267,0.36919848995666954,8664
2022,0.5,kpx_group_1,0.6249205595337293,0.12757741463601943,0.37741853370347794,8664
2022,0.6,kpx_group_1,0.6271334029717516,0.12675497702531902,0.38102178296882216,8664
2022,0.75,kpx_group_1,0.6308671384642093,0.12633230005497834,0.38806657698339697,8664
2022,1.0,kpx_group_1,0.6335780325719766,0.12761822436479692,0.3947742895087504,8664
2022,0.0,kpx_group_2,0.6297683137958492,0.14923712781769133,0.4087737554093898,8664
2022,0.25,kpx_group_2,0.6425712933333811,0.13701845217686986,0.4221610388436322,8664
2022,0.4,kpx_group_2,0.646084096149018,0.13139786658109218,0.4235660588791281,8664
2022,0.5,kpx_group_2,0.646300725574801,0.12846658533028552,0.42106803647988744,8664
2022,0.6,kpx_group_2,0.6463111179575085,0.12609868450711725,0.4187209204221344,8664
2022,0.75,kpx_group_2,0.6471612090820471,0.12368022895132506,0.4180026471154192,8664
2022,1.0,kpx_group_2,0.6381170736201449,0.12308056564066615,0.39931471288095594,8664
2023,0.0,kpx_group_1,0.5975531655466694,0.13592502735221154,0.33103135844555026,8757
2023,0.25,kpx_group_1,0.6018700922174269,0.13193928622596343,0.3356794706608174,8757
2023,0.4,kpx_group_1,0.6045141982596005,0.13030313186546463,0.3393315283846655,8757
2023,0.5,kpx_group_1,0.6046581912702557,0.12957323863775358,0.3388896211782649,8757
2023,0.6,kpx_group_1,0.6061610147927775,0.12911737416446847,0.3414394037500234,8757
2023,0.75,kpx_group_1,0.6067698709603571,0.1289859460699679,0.3425256879906821,8757
2023,1.0,kpx_group_1,0.6047121027329907,0.13015618434121168,0.3395803898071931,8757
2023,0.0,kpx_group_2,0.6445387103440251,0.1473589383745044,0.4364363590625546,8758
2023,0.25,kpx_group_2,0.6524297728213907,0.13798432307119324,0.4428438687139747,8758
2023,0.4,kpx_group_2,0.6551981001381101,0.13384482285506882,0.44424102313128905,8758
2023,0.5,kpx_group_2,0.6543464083473004,0.13173640464704553,0.44042922134164636,8758
2023,0.6,kpx_group_2,0.652200311651179,0.1301546160025483,0.4345552393049062,8758
2023,0.75,kpx_group_2,0.6462821007176599,0.1286101172368169,0.42117431867213667,8758
2023,1.0,kpx_group_2,0.6375228693236688,0.1282194447720305,0.4032651834193681,8758
2023,0.0,kpx_group_3,0.5739635959679035,0.16174604286588662,0.3096732348016936,8759
2023,0.25,kpx_group_3,0.5789325297581877,0.15559219421301848,0.3134572537293938,8759
2023,0.4,kpx_group_3,0.581606360712515,0.1532096359289879,0.3164223573540179,8759
2023,0.5,kpx_group_3,0.5815119690704357,0.15210441742987932,0.31512835557075064,8759
2023,0.6,kpx_group_3,0.5809292495945384,0.15140019275362973,0.3132586919427064,8759
2023,0.75,kpx_group_3,0.5793909012905201,0.15105443869011906,0.3098362412711591,8759
2023,1.0,kpx_group_3,0.5776430862801756,0.15259170712680645,0.30787787968715763,8759
2024,0.0,kpx_group_1,0.6169333240141746,0.12214394987095682,0.3560105978993059,8778
2024,0.25,kpx_group_1,0.6210564352999327,0.11750641248710045,0.3596192830869659,8778
2024,0.4,kpx_group_1,0.6264000911113635,0.11576062429849321,0.36856080652122025,8778
2024,0.5,kpx_group_1,0.6291021145354903,0.11501268192202531,0.3732169109930057,8778
2024,0.6,kpx_group_1,0.6302694966839893,0.11459476799779776,0.37513376136577653,8778
2024,0.75,kpx_group_1,0.6299369161052231,0.11459959069502748,0.37447342290547364,8778
2024,1.0,kpx_group_1,0.6294927808683277,0.11627059182593241,0.37525615356258774,8778
2024,0.0,kpx_group_2,0.6373203151787201,0.14506655607006222,0.41970718642750254,8778
2024,0.25,kpx_group_2,0.6503031633443358,0.13479345117278874,0.4353997778614603,8778
2024,0.4,kpx_group_2,0.657076896040518,0.12974334866661397,0.4438971407476501,8778
2024,0.5,kpx_group_2,0.6619928226586855,0.12686796450412063,0.4508536098214917,8778
2024,0.6,kpx_group_2,0.6659529939911545,0.12447205785224423,0.45637804583455327,8778
2024,0.75,kpx_group_2,0.6688506858074479,0.12180506013643766,0.45950643175133343,8778
2024,1.0,kpx_group_2,0.6677058162727836,0.11964494497309842,0.4550565775186656,8778
2024,0.0,kpx_group_3,0.5992092328394276,0.14257071331967128,0.34098917899852654,8778
2024,0.25,kpx_group_3,0.6026743658741256,0.13486109141858005,0.3402098231668313,8778
2024,0.4,kpx_group_3,0.6028016450700857,0.1319658110370678,0.3375691011772394,8778
2024,0.5,kpx_group_3,0.6026548187314333,0.13073553030391488,0.3360451677667816,8778
2024,0.6,kpx_group_3,0.6017510404114166,0.1301049647128736,0.33360704553570686,8778
2024,0.75,kpx_group_3,0.5981449957982199,0.13025655929257812,0.32654655088901785,8778
2024,1.0,kpx_group_3,0.5878799706783984,0.13361129606134303,0.3093712374181398,8778
2022,0.0,fold_mean,0.6146104423100868,0.1430867350895679,0.37230761970974147,17328
2022,0.25,fold_mean,0.6275666539094154,0.1341014482555765,0.38923475607440716,17328
2022,0.4,fold_mean,0.6331480552753732,0.13008616386715244,0.39638227441789886,17328
2022,0.5,fold_mean,0.6356106425542651,0.12802199998315247,0.3992432850916827,17328
2022,0.6,fold_mean,0.6367222604646301,0.12642683076621813,0.39987135169547827,17328
2022,0.75,fold_mean,0.6390141737731282,0.1250062645031517,0.40303461204940805,17328
2022,1.0,fold_mean,0.6358475530960608,0.12534939500273154,0.39704450119485313,17328
2023,0.0,fold_mean,0.605351823952866,0.14834333619753418,0.3590469841032662,26274
2023,0.25,fold_mean,0.6110774649323351,0.1418386011700584,0.36399353103472865,26274
2023,0.4,fold_mean,0.6137728863700752,0.13911919688317378,0.3666649696233242,26274
2023,0.5,fold_mean,0.6135055228959972,0.1378046869048928,0.3648157326968873,26274
2023,0.6,fold_mean,0.6130968586794983,0.1368907276402155,0.36308444499921205,26274
2023,0.75,fold_mean,0.6108142909895123,0.13621683399896797,0.35784541597799263,26274
2023,1.0,fold_mean,0.6066260194456117,0.1369891120800162,0.3502411509712396,26274
2024,0.0,fold_mean,0.6178209573441075,0.13659373975356345,0.37223565444177836,26334
2024,0.25,fold_mean,0.6246779881727981,0.1290536516928231,0.3784096280384192,26334
2024,0.4,fold_mean,0.628759544073989,0.12582326133405833,0.38334234948203655,26334
2024,0.5,fold_mean,0.6312499186418697,0.1242053922433536,0.38670522952709296,26334
2024,0.6,fold_mean,0.6326578436955201,0.12305726352097186,0.3883729509120122,26334
2024,0.75,fold_mean,0.6323108659036303,0.1222204033746811,0.3868421351819416,26334
2024,1.0,fold_mean,0.6283595226065032,0.12317561095345796,0.3798946561664644,26334
