tree_variant,pinn_weight,group,score,nmae,ficr
raw,0.0,kpx_group_1,0.602678056816808,0.12594605486927474,0.33130216850289074
raw,0.0,kpx_group_2,0.6320582983230577,0.12618235634616057,0.39029895299227596
raw,0.0,kpx_group_3,0.5586715031707217,0.14957498053754453,0.26691798687898793
raw,0.0,mean,0.5978026194368625,,
raw,0.05,kpx_group_1,0.6052627503827821,0.1246502870863554,0.3351757878519195
raw,0.05,kpx_group_2,0.6335860803144149,0.1253447022484876,0.39251686287731724
raw,0.05,kpx_group_3,0.5611341496607672,0.1474829109480915,0.26975121026962595
raw,0.05,mean,0.5999943267859881,,
raw,0.1,kpx_group_1,0.6084619921047633,0.12345212791519151,0.34037611212471813
raw,0.1,kpx_group_2,0.6361390152918237,0.12462649940011095,0.3969045299837583
raw,0.1,kpx_group_3,0.5653401332297409,0.14558024899710845,0.2762605154565901
raw,0.1,mean,0.6033137135421093,,
raw,0.15000000000000002,kpx_group_1,0.6112770314131459,0.12236937391767425,0.34492343674396614
raw,0.15000000000000002,kpx_group_2,0.639427497106779,0.12403535074301592,0.4028903449565739
raw,0.15000000000000002,kpx_group_3,0.5666710710849748,0.14386055155664526,0.27720269372659495
raw,0.15000000000000002,mean,0.6057918665349665,,
raw,0.2,kpx_group_1,0.613680556851443,0.12137638875613677,0.3487375024590227
raw,0.2,kpx_group_2,0.6426685539471222,0.12357226758153694,0.4089093754757813
raw,0.2,kpx_group_3,0.5684444464817443,0.14230214374521483,0.2791910367087033
raw,0.2,mean,0.6082645190934365,,
raw,0.25,kpx_group_1,0.6155876212651736,0.1204874718068031,0.35166271433715035
raw,0.25,kpx_group_2,0.6457990370831117,0.12323114375972521,0.41482921792594873
raw,0.25,kpx_group_3,0.5718973805996628,0.14094006951591725,0.2847348307152429
raw,0.25,mean,0.6110946796493161,,
raw,0.30000000000000004,kpx_group_1,0.6188324338029149,0.11972686997534238,0.35739173758117215
raw,0.30000000000000004,kpx_group_2,0.6464328739662293,0.12305198467816851,0.41591773261062703
raw,0.30000000000000004,kpx_group_3,0.5720294362999991,0.13974435740828084,0.2838032300082792
raw,0.30000000000000004,mean,0.6124315813563811,,
raw,0.35000000000000003,kpx_group_1,0.6202196331056392,0.11910193425874484,0.3595412004700233
raw,0.35000000000000003,kpx_group_2,0.6488731232195767,0.12300753088678851,0.4207537773259418
raw,0.35000000000000003,kpx_group_3,0.5763003521267267,0.13879727239093073,0.29139797664438427
raw,0.35000000000000003,mean,0.6151310361506476,,
raw,0.4,kpx_group_1,0.6227492107254644,0.11860210874472968,0.3641005301956585
raw,0.4,kpx_group_2,0.6499853853895798,0.12312002092897882,0.42309079170813857
raw,0.4,kpx_group_3,0.5786164692721805,0.1380689256326024,0.29530186417696347
raw,0.4,mean,0.6171170217957416,,
raw,0.45,kpx_group_1,0.6258339361375986,0.11821833483820564,0.369886207113403
raw,0.45,kpx_group_2,0.6510693040893366,0.12337587288559324,0.4255144810642665
raw,0.45,kpx_group_3,0.5810305915489983,0.13752162656695704,0.29958280966495354
raw,0.45,mean,0.6193112772586445,,
raw,0.5,kpx_group_1,0.6265255955595963,0.11793085765851835,0.3709820487777109
raw,0.5,kpx_group_2,0.6516021326707323,0.12377975966099565,0.42698402500246024
raw,0.5,kpx_group_3,0.5818805722856746,0.13720421096954594,0.30096535554089515
raw,0.5,mean,0.6200027668386677,,
raw,0.55,kpx_group_1,0.6291616724548692,0.1177819388827462,0.37610528379248465
raw,0.55,kpx_group_2,0.6513454704490301,0.12431260736239141,0.4270035482604517
raw,0.55,kpx_group_3,0.583716405767537,0.13710541698230028,0.30453822851737444
raw,0.55,mean,0.6214078495571455,,
raw,0.6000000000000001,kpx_group_1,0.630601074734732,0.11776386917116993,0.37896601864063406
raw,0.6000000000000001,kpx_group_2,0.6523835615077729,0.1249915496682838,0.42975867268382967
raw,0.6000000000000001,kpx_group_3,0.5869666382721488,0.13727455335103864,0.31120782989533635
raw,0.6000000000000001,mean,0.6233170915048846,,
raw,0.65,kpx_group_1,0.6316925499300835,0.11788462770861505,0.381269727568782
raw,0.65,kpx_group_2,0.6512927903318328,0.12583496923865317,0.4284205499023188
raw,0.65,kpx_group_3,0.5851947065155314,0.1377128219849022,0.30810223501596495
raw,0.65,mean,0.6227266822591493,,
raw,0.7000000000000001,kpx_group_1,0.6331382534130582,0.11813189516280063,0.38440840198891696
raw,0.7000000000000001,kpx_group_2,0.6505656477067274,0.12681244376044112,0.42794373917389605
raw,0.7000000000000001,kpx_group_3,0.585521637891198,0.13841965000724724,0.30946292578964324
raw,0.7000000000000001,mean,0.6230751796703279,,
raw,0.75,kpx_group_1,0.6331427665053242,0.11849610802127958,0.384781641031928
raw,0.75,kpx_group_2,0.6498308411424438,0.1279014862781043,0.42756316856299204
raw,0.75,kpx_group_3,0.5873565719214866,0.13932510954365426,0.3140382533866274
raw,0.75,mean,0.6234433931897515,,
raw,0.8,kpx_group_1,0.6341199698467046,0.11898522311863752,0.3872251628120468
raw,0.8,kpx_group_2,0.6470960435814984,0.12913029658293157,0.4233223837459283
raw,0.8,kpx_group_3,0.5878081112527715,0.14041519591595175,0.3160314184214948
raw,0.8,mean,0.6230080415603249,,
raw,0.8500000000000001,kpx_group_1,0.6341753199006012,0.11959638375310651,0.3879470235543088
raw,0.8500000000000001,kpx_group_2,0.6444324004210842,0.13050473204011837,0.41936953288228684
raw,0.8500000000000001,kpx_group_3,0.5875001797904225,0.1416983767047937,0.3166987362856387
raw,0.8500000000000001,mean,0.6220359667040359,,
raw,0.9,kpx_group_1,0.635069524141203,0.1203376239702426,0.39047667225264865
raw,0.9,kpx_group_2,0.6427587694712634,0.13201589945823397,0.41753343840076085
raw,0.9,kpx_group_3,0.5882744001444747,0.14323243142547265,0.31978123171442224
raw,0.9,mean,0.6220342312523136,,
raw,0.9500000000000001,kpx_group_1,0.6340343611645576,0.12123393989297697,0.389302662222092
raw,0.9500000000000001,kpx_group_2,0.6392868201849919,0.13366764505191162,0.4122412854218955
raw,0.9500000000000001,kpx_group_3,0.5876828493879478,0.14501541901641402,0.3203811177923096
raw,0.9500000000000001,mean,0.6203346769124991,,
raw,1.0,kpx_group_1,0.6340619691016764,0.12226100923472152,0.39038494743807445
raw,1.0,kpx_group_2,0.6338619291485305,0.135434635822841,0.4031584941199019
raw,1.0,kpx_group_3,0.5886375056179982,0.14700501642671815,0.32428002766271447
raw,1.0,mean,0.6188538012894017,,
calibrated,0.0,kpx_group_1,0.6110600710414006,0.1264088888887004,0.34852903097150156
calibrated,0.0,kpx_group_2,0.6376569598880236,0.12817017856381585,0.40348409833986315
calibrated,0.0,kpx_group_3,0.5574530946985815,0.15063057377773664,0.26553676317489977
calibrated,0.0,mean,0.6020567085426686,,
calibrated,0.05,kpx_group_1,0.6138129689477407,0.12502632538867023,0.35265226328415167
calibrated,0.05,kpx_group_2,0.640820870894369,0.1272914810146382,0.40893322280337624
calibrated,0.05,kpx_group_3,0.5590867132393958,0.148468844500157,0.2666422709789486
calibrated,0.05,mean,0.6045735176938352,,
calibrated,0.1,kpx_group_1,0.6163727214922105,0.12376883918289154,0.3565142821673124
calibrated,0.1,kpx_group_2,0.6439722590576491,0.12652967973154877,0.4144741978468469
calibrated,0.1,kpx_group_3,0.5624396309319223,0.14653106563292057,0.2714103274967652
calibrated,0.1,mean,0.6075948704939272,,
calibrated,0.15000000000000002,kpx_group_1,0.6197142635718416,0.12263928714384299,0.3620678142875261
calibrated,0.15000000000000002,kpx_group_2,0.6469839867707577,0.12588289033883385,0.4198508638803493
calibrated,0.15000000000000002,kpx_group_3,0.5642838601143758,0.14477277379590037,0.2733404940246519
calibrated,0.15000000000000002,mean,0.6103273701523251,,
calibrated,0.2,kpx_group_1,0.6217498498351453,0.1216050149216649,0.3651047145919553
calibrated,0.2,kpx_group_2,0.6490642315820307,0.1253497782324676,0.42347824139652923
calibrated,0.2,kpx_group_3,0.5653803440453458,0.14316802569914205,0.27392871378983374
calibrated,0.2,mean,0.6120648084875072,,
calibrated,0.25,kpx_group_1,0.625290999341209,0.12068594824722978,0.37126794692964793
calibrated,0.25,kpx_group_2,0.6501786324239777,0.12495359888194489,0.4253108637299002
calibrated,0.25,kpx_group_3,0.5690780365827353,0.1417551689698386,0.2799112421353092
calibrated,0.25,mean,0.6148492227826406,,
calibrated,0.30000000000000004,kpx_group_1,0.6265820980872665,0.11990850372776508,0.3730726999022981
calibrated,0.30000000000000004,kpx_group_2,0.6508037993309816,0.12470530126862198,0.4263128999305852
calibrated,0.30000000000000004,kpx_group_3,0.5728423855376856,0.14052228110253093,0.2862070521779023
calibrated,0.30000000000000004,mean,0.6167427609853112,,
calibrated,0.35000000000000003,kpx_group_1,0.6279847123258737,0.11925348001843675,0.37522290467018404
calibrated,0.35000000000000003,kpx_group_2,0.6511756276375384,0.12459929208720423,0.4269505473622811
calibrated,0.35000000000000003,kpx_group_3,0.5767460171513704,0.13954569337826928,0.29303772768101016
calibrated,0.35000000000000003,mean,0.6186354523715942,,
calibrated,0.4,kpx_group_1,0.6292530379081123,0.11870725709752564,0.37721333291375014
calibrated,0.4,kpx_group_2,0.6521911933049251,0.12463650233635015,0.42901888894620055
calibrated,0.4,kpx_group_3,0.5771241788035266,0.13876393729414674,0.29301229490119995
calibrated,0.4,mean,0.6195228033388547,,
calibrated,0.45,kpx_group_1,0.6298406335385458,0.1182903466878239,0.3779716137649154
calibrated,0.45,kpx_group_2,0.6521928724299371,0.12482988261045919,0.4292156274703335
calibrated,0.45,kpx_group_3,0.5794604537967849,0.13816855972011197,0.29708946731368174
calibrated,0.45,mean,0.6204979865884226,,
calibrated,0.5,kpx_group_1,0.6300146722083486,0.11800141841161924,0.37803076282831655
calibrated,0.5,kpx_group_2,0.6525741971063884,0.12515587885097218,0.430304273063749
calibrated,0.5,kpx_group_3,0.583202153944127,0.1378016615956353,0.30420596948388945
calibrated,0.5,mean,0.6219303410862881,,
calibrated,0.55,kpx_group_1,0.6318689975707386,0.11783651504077658,0.38157451018225375
calibrated,0.55,kpx_group_2,0.6520116652757306,0.12560424877750542,0.4296275793289667
calibrated,0.55,kpx_group_3,0.5839761693853003,0.13767343132342655,0.3056257700940272
calibrated,0.55,mean,0.6226189440772565,,
calibrated,0.6000000000000001,kpx_group_1,0.6325236847827733,0.11782963285588889,0.38287700242143546
calibrated,0.6000000000000001,kpx_group_2,0.6519312245963063,0.12617780264532158,0.430040251837934
calibrated,0.6000000000000001,kpx_group_3,0.5853991595629342,0.1377821604205243,0.30858047954639267
calibrated,0.6000000000000001,mean,0.623284689647338,,
calibrated,0.65,kpx_group_1,0.6339948511944791,0.11795475285284122,0.3859444552417992
calibrated,0.65,kpx_group_2,0.6510163745098773,0.12689795819747812,0.42893070721723264
calibrated,0.65,kpx_group_3,0.5860619083688619,0.13816034566998306,0.31028416240770673
calibrated,0.65,mean,0.6236910446910727,,
calibrated,0.7000000000000001,kpx_group_1,0.6357359127270898,0.11819328462609378,0.3896651100802736
calibrated,0.7000000000000001,kpx_group_2,0.651668727076614,0.12775069362134733,0.4310881477745753
calibrated,0.7000000000000001,kpx_group_3,0.5862291761441547,0.13880267640982935,0.3112610286981389
calibrated,0.7000000000000001,mean,0.6245446053159528,,
calibrated,0.75,kpx_group_1,0.6353277095212955,0.11854128752350805,0.389196706566099
calibrated,0.75,kpx_group_2,0.6484518780530832,0.1287066375682304,0.4256103936743968
calibrated,0.75,kpx_group_3,0.5865924420217938,0.13964029738708025,0.3128251814306679
calibrated,0.75,mean,0.6234573431987241,,
calibrated,0.8,kpx_group_1,0.636189094888059,0.11902065400895226,0.3913988437850702
calibrated,0.8,kpx_group_2,0.6461137990980117,0.12979728141677713,0.42202487961280066
calibrated,0.8,kpx_group_3,0.5877040425896873,0.14065872130325877,0.3160668064826334
calibrated,0.8,mean,0.6233356455252527,,
calibrated,0.8500000000000001,kpx_group_1,0.6353446302703555,0.11962284662826167,0.3903121071689726
calibrated,0.8500000000000001,kpx_group_2,0.6435073699439444,0.13101634260584497,0.4180310824937338
calibrated,0.8500000000000001,kpx_group_3,0.5874662557389829,0.1418817999056513,0.31681431138361715
calibrated,0.8500000000000001,mean,0.6221060853177609,,
calibrated,0.9,kpx_group_1,0.6355444003628725,0.1203493633010167,0.39143816402676174
calibrated,0.9,kpx_group_2,0.6419184623225587,0.13236566297713862,0.4162025876222558
calibrated,0.9,kpx_group_3,0.5883090720466694,0.14336989393746497,0.3199880380308037
calibrated,0.9,mean,0.6219239782440336,,
calibrated,0.9500000000000001,kpx_group_1,0.6348167822080113,0.12123428714887204,0.3908678515648948
calibrated,0.9500000000000001,kpx_group_2,0.6393889101945671,0.13384482188878913,0.4126226422779234
calibrated,0.9500000000000001,kpx_group_3,0.5876344125523858,0.14508522664610435,0.320354051750876
calibrated,0.9500000000000001,mean,0.6206133683183214,,
calibrated,1.0,kpx_group_1,0.6340619691016764,0.12226100923472152,0.39038494743807445
calibrated,1.0,kpx_group_2,0.6338619291485305,0.135434635822841,0.4031584941199019
calibrated,1.0,kpx_group_3,0.5886375056179982,0.14700501642671815,0.32428002766271447
calibrated,1.0,mean,0.6188538012894017,,
